Rank,Rider,Rank.1,Rider No.,Team,Times,Gap,B,P,year,edition
169,SAM BENNETT,169,43,DECEUNINCK - QUICK - STEP,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
170,SIMONE CONSONNI,170,122,COFIDIS,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
171,ROGER KLUGE,171,158,LOTTO SOUDAL,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
172,CEES BOL,172,203,TEAM SUNWEB,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
1,WOUT VAN AERT,1,18,TEAM JUMBO - VISMA,03h 32' 03'',-,B : 10'',-,2020.0,107.0
2,EDVALD BOASSON HAGEN,2,192,NTT PRO CYCLING TEAM,03h 32' 03'',-,B : 6'',-,2020.0,107.0
3,BRYAN COQUARD,3,211,B&B HOTELS - VITAL CONCEPT P / B KTM,03h 32' 03'',-,B : 4'',-,2020.0,107.0
4,CHRISTOPHE LAPORTE,4,125,COFIDIS,03h 32' 03'',-,-,-,2020.0,107.0
5,JASPER STUYVEN,5,107,TREK - SEGAFREDO,03h 32' 03'',-,-,-,2020.0,107.0
6,CLÉMENT VENTURINI,6,37,AG2R LA MONDIALE,03h 32' 03'',-,-,-,2020.0,107.0
7,HUGO HOFSTETTER,7,174,ISRAEL START-UP NATION,03h 32' 03'',-,-,-,2020.0,107.0
8,EGAN BERNAL,8,1,INEOS GRENADIERS,03h 32' 03'',-,-,-,2020.0,107.0
9,ADAM YATES,9,161,MITCHELTON - SCOTT,03h 32' 03'',-,-,-,2020.0,107.0
10,ALEJANDRO VALVERDE,10,91,MOVISTAR TEAM,03h 32' 03'',-,-,-,2020.0,107.0
11,HUGO HOULE,11,143,ASTANA PRO TEAM,03h 32' 03'',-,-,-,2020.0,107.0
12,JULIAN ALAPHILIPPE,12,41,DECEUNINCK - QUICK - STEP,03h 32' 03'',-,-,-,2020.0,107.0
13,PETER SAGAN,13,21,BORA - HANSGROHE,03h 32' 03'',-,-,-,2020.0,107.0
14,WARREN BARGUIL,14,83,TEAM ARKEA - SAMSIC,03h 32' 03'',-,-,-,2020.0,107.0
15,MIKAEL CHEREL,15,32,AG2R LA MONDIALE,03h 32' 03'',-,-,-,2020.0,107.0
16,ROMAIN BARDET,16,31,AG2R LA MONDIALE,03h 32' 03'',-,-,-,2020.0,107.0
17,SERGIO ANDRES HIGUITA,17,74,EF PRO CYCLING,03h 32' 03'',-,-,-,2020.0,107.0
18,THIBAUT PINOT,18,51,GROUPAMA - FDJ,03h 32' 03'',-,-,-,2020.0,107.0
19,EMANUEL BUCHMANN,19,22,BORA - HANSGROHE,03h 32' 03'',-,-,-,2020.0,107.0
20,GUILLAUME MARTIN,20,121,COFIDIS,03h 32' 03'',-,-,-,2020.0,107.0
21,ALBERTO BETTIOL,21,72,EF PRO CYCLING,03h 32' 03'',-,-,-,2020.0,107.0
22,MIGUEL ANGEL LOPEZ,22,141,ASTANA PRO TEAM,03h 32' 03'',-,-,-,2020.0,107.0
23,ALEXEY LUTSENKO,23,146,ASTANA PRO TEAM,03h 32' 03'',-,-,-,2020.0,107.0
